Name,Location,acronym,info_link
EATRIS,NL,EATRIS,https://eatris.eu/
Fraunhofer-Gesellschaft,DE,FRAUNHOFER,https://www.fraunhofer.de/
University of Helsinki (FIMM-UH),FI,FIMM-UH,https://www.helsinki.fi/
The European Clinical Research Infrastructure Network (ECRIN),FR,ERCIN,https://ecrin.org/
Mario Negri Institute for Pharmacological Research,IT,IRFMN,https://www.marionegri.it/
Istituto Nazionale Tumori,IT,INT-NA,https://newportal.istitutotumori.na.it/
EURORDIS-Plateforme Maladies Rares,FR,EURORDIS,https://www.eurordis.org/
Dompe Farmaceutici-SpA,IT,DOMPE,https://www.dompe.com/
ZonMw,NL,ZonMw,https://www.zonmw.nl/
Teamit Research,ES,Teamit,https://www.teamitresearch.com/
Medicines for Europe,BE,M4EU,https://www.medicinesforeurope.com/
Syreon Research Institute,HU,SRI,https://syreon.eu/
Karolinska Institutet,SE,KI,https://ki.se/
Chemotargets,ES,Chemotargets,https://chemotargets.com/
Anti-cancer fund,BE,ACF,https://www.anticancerfund.org/
Ljubljana University,SI,UL,https://www.uni-lj.si/university/
Bfarm,DE,Bfarm,https://www.bfarm.de/
Istituto Ortopedico Rizzoli,IT,IOR,https://www.ior.it/
Servicio Madrileno de Salud,ES,SERMAS,https://www.comunidad.madrid/
Uppsala Universitet,SE,UU,https://www.uu.se/
University Medical Center Gottingen,DE,UMG,https://www.umg.eu/
Beacon: for rare disease,GB,BEACON,https://www.rarebeacon.org/
The University of Sheffield,GB,USFD,https://www.sheffield.ac.uk/
University of Hull,GB,UHULL,https://www.hull.ac.uk/
